,outputs,gt,train_loss,error,outputs_b,gt,train_loss,error
116,1150.593667,1176.7,339.6036987,0.022689446,1025.44472,994.67,17519.24023,-0.030011096
117,1157.581948,1175.85,998.2453003,0.015781217,1068.577099,999.65,13373.53418,-0.064503627
118,1164.455074,1175.85,1108.606323,0.00978563,1048.696415,896.83,13580.90332,-0.144814469
119,1174.878226,1175.85,706.9124756,0.000827127,1007.609779,908.14,29561.53125,-0.098718552
120,1186.175674,1178.5,170.0791016,-0.006470942,1090.045447,910.49,36195.64844,-0.1647229
121,1187.848473,1189.5,34.43369675,0.001390352,949.2710312,906.05,19806.20117,-0.04553076
122,1179.358696,1178.55,202.4485168,-0.000685708,927.4916054,785.22,7989.394531,-0.153393955
123,1180.25266,1205.05,183.9630127,0.021010196,886.9846445,780.92,13133.34668,-0.119578896
124,1185.49819,1190.35,745.9008789,0.004092634,862.1547385,826.29,20007.00391,-0.041598958
125,1190.779929,1190.35,631.6085815,-0.000361048,754.3529378,817.91,16903.50391,0.084253748
126,1201.848605,1190.35,464.6561584,-0.009567432,829.8724056,819.55,13080.50684,-0.012438545
127,1192.244954,1203,472.7868652,0.009020836,737.7492471,830.5,2385.152588,0.125721244
128,1208.513527,1216.05,339.2316895,0.006236151,820.2518091,903.84,4239.078125,0.101905525
129,1198.966625,1214.75,802.5842285,0.013164149,840.6746447,906.6,5503.291504,0.078419583
130,1204.546545,1196.05,931.4788818,-0.007053729,852.6471915,895.798875,8520.958984,0.050609072
131,1206.433285,1200.55,788.4620361,-0.004876594,797.9560385,893.6210875,7480.129883,0.119887618
132,1205.777796,1200.55,484.4035645,-0.004335621,895.7817959,895.64,8036.424805,-0.000158293
133,1213.790198,1200.55,484.1691895,-0.010908144,976.6647724,918.603625,196.6092834,-0.059448389
134,1201.942905,1212.85,321.1541443,0.009074553,899.2943664,922.0736125,3289.19873,0.025330133
135,1202.365404,1216.8,227.8647156,0.012005166,905.4253069,919.97,796.7147827,0.016063935
136,1206.757464,1195,373.7247925,-0.009743022,910.3068448,893.045625,807.4331665,-0.01896198
137,1207.374506,1189.7,495.9295959,-0.014638793,909.6982737,915.95625,843.3652344,0.006879178
138,1202.620758,1184.85,814.3231812,-0.014776693,925.5947253,915.05,598.5658569,-0.011392378
139,1196.040469,1184.85,1188.043579,-0.009356263,915.994717,920.31225,626.2186279,0.004713491
140,1195.51615,1184.85,975.6387939,-0.008921795,912.9499952,915.933,535.7108154,0.003267435
141,1187.849617,1192.8,195.711731,0.004167517,912.1896254,912.19,484.6259766,4.10662E-07
142,1187.167284,1212.8,109.774765,0.021591495,915.7150812,964.706075,42.54030991,0.053500259
143,1191.929838,1203.65,859.0595703,0.009832929,925.5859838,979.703875,2054.506348,0.058468789
144,1197.475827,1221.95,892.6273193,0.020438135,936.8014149,983.42,4134.944336,0.049763572
145,1184.286023,1215.2,1201.227661,0.026103472,951.3342293,1013.027,5054.885254,0.064848682
146,1206.412028,1215.2,1002.175171,0.007284387,970.1427626,1030.999413,5789.435059,0.062729582
147,1232.433321,1215.2,293.7087097,-0.013983167,1039.955263,1034.07,3235.814941,-0.00565915
148,1216.072984,1226.75,303.7269897,0.008779914,1025.601899,1024.01375,3346.401123,-0.001548504
149,1226.384661,1231,172.8166962,0.00376337,1021.598836,1050.11,1831.289063,0.027908375
150,1221.47034,1242.1,343.6299744,0.016889203,1059.882842,1052.84,813.25,-0.006644925
151,1227.114748,1236.8,742.3212891,0.007892703,1057.85333,976.103,902.1819458,-0.077279456
