,outputs,gt,train_loss,error
284,2574.566112,2727.288013,30476.18164,0.059319471
285,2586.861888,2713.48,24707.19727,0.048946607
286,2597.930271,2589.164888,13353.64844,-0.003373987
287,2661.970366,2512.366286,15744.40625,-0.056200505
288,2694.68953,2502.03,18195.52734,-0.071496003
289,2671.544804,2517.903114,28769.44727,-0.05751043
290,2586.808792,2585.349186,24158.63477,-0.00056425
291,2537.312654,2558.3,4868.933594,0.008271486
292,2519.178055,2477.641375,2953.991211,-0.016488188
293,2521.554831,2501.191343,3864.058594,-0.008075766
294,2521.392105,2421.26,3466.273926,-0.039713024
295,2437.766733,2561.225429,9395.138672,0.050644179
296,2514.449335,2599.729838,14819.75293,0.033916175
297,2498.617684,2598.89,10491.24512,0.040131116
298,2528.21606,2609.96775,10773.61914,0.032335721
299,2529.3379,2491.201214,15419.12012,-0.015077735
300,2560.349984,2502.86,5588.214844,-0.022453955
301,2609.199715,2536.238938,7191.723633,-0.027962895
302,2562.875319,2366.170143,6661.28418,-0.076751754
303,2531.816292,2327.09,26341.96289,-0.080861432
304,2454.080794,2385.748571,23613.80078,-0.027844325
305,2445.067444,2354.783417,18983.50195,-0.036924964
306,2440.641274,2338.49,21078.87109,-0.041854276
307,2354.919785,2058.9956,9394.806641,-0.125662108
308,2253.783146,1931.2143,38554.46875,-0.143123284
309,2288.76426,1910.96,71928.47656,-0.165069102
310,2182.293328,2320.12225,104208.6953,0.063157835
311,2097.595289,2264.7657,55530.36328,0.079696218
312,2037.786678,2265.21,34455.98438,0.111603106
313,2016.985983,2682.195363,57101.58203,0.32980367
314,2150.542544,2807.609857,240710.5,0.305535603
315,2480.787442,2825.51,221743.0469,0.13895691
316,2574.70437,2751.821029,190332.1094,0.068791066
317,2580.577549,2560.997917,117591.4844,-0.007587306
318,3099.802166,2564.3,25429.05859,-0.172753659
319,2778.167072,2647.625,165222.375,-0.046988561
320,2752.15548,2781.636583,129879.0391,0.010712005
321,2684.791251,2784.8,20654.1582,0.037250103
322,2629.188516,2745.955417,15235.97168,0.044411764
323,2655.605693,2866.431667,13695.18262,0.079389035
324,2739.060992,2862.9,24618.68164,0.045212213
325,2783.470206,2693.633983,11030.93066,-0.0322749
326,2807.701942,2794.117717,15374.93164,-0.0048382
327,2785.508813,2790,13914.9043,0.00161234
328,2881.429085,3218.115017,11609.5127,0.116846857
329,2882.205098,3252.562533,81881.16406,0.128497946
330,2870.771639,3210.2,102799.4609,0.118235932
331,2974.194551,3457.374333,85289.78906,0.162457356
332,3098.132765,3357.326317,188139.4688,0.083661215
333,3722.530613,3340.28,70408.82813,-0.102685687
334,3191.512356,3632.506667,74912.8125,0.138177222
335,3366.878994,3852.802914,211508.2969,0.144324735
336,3697.29115,3868.52,96575.91406,0.046311974
337,3571.20093,4282.992,137181.2813,0.199314204
338,3689.517567,4217.028329,289059.1875,0.142975539
339,4093.199583,4179.97,184927.1094,0.021198677
340,4358.38104,4328.725717,95031.82031,-0.006804206
341,4124.512814,4130.440067,127949.4219,0.00143708
342,4638.714144,4104.71,123876.1719,-0.115119002
343,4183.387415,4157.958033,143068.9844,-0.006078658
344,4168.271152,4043.722,54035.11719,-0.02988029
345,4225.466801,3986.28,40921.90234,-0.056606006
346,4079.974523,4174.95,20969.75,0.023278448
347,4075.707002,4340.316717,13558.14355,0.064923635
348,4148.089215,4331.77,25555.01172,0.044280818
349,4146.677631,4360.513317,36267.89063,0.051567955
350,4038.869249,4354.308333,53322.61328,0.078100841
351,4307.844637,4339.05,62829.45703,0.007243846
352,4522.95245,4607.98545,6498.588379,0.01880033
353,4408.169012,4594.98785,38097.68359,0.042380144
354,4440.197502,4582.52,29672.20898,0.032053191
355,4455.895355,4911.740017,25842.04688,0.102301474
356,4531.999196,4580.38748,122158.0391,0.010677028
357,4888.335779,4585.57,57043.8125,-0.061936371
358,4677.386315,4344.098317,60751.36328,-0.071255179
359,4596.585974,4488.72014,90187.57813,-0.023466511
360,4938.636914,4385.02,98850.78906,-0.112099132
361,4519.387208,4654.6585,145767.9219,0.029931335
362,4489.526894,4310.750183,40329.1875,-0.039820835
363,4368.285732,4312.26,48562.11719,-0.012825565
364,4478.077244,4329.955,42872.46094,-0.033077197
365,4211.964807,4248.090017,38086.24219,0.008576807
366,4541.852158,4198.59,73889.33594,-0.075577572
367,4264.126563,3961.271267,33233.89453,-0.071023993
368,4214.038508,3319.63,55528.07422,-0.212244977
369,4122.03576,3216.43,310661.5625,-0.219698667
370,3927.467872,3763.62604,438863.5,-0.041716912
371,3705.197344,3746.060783,195582.5313,0.011028681
372,3704.818991,3678.53,120424.8359,-0.007095891
373,3303.974373,3943.413333,80773.86719,0.193536295
374,3331.917265,3977.561667,172987.2969,0.193775641
