,outputs,gt
87,"[1170.134232699871, 1171.1130030001514, 1164.554422891706, 1166.2114816308022, 1169.4483050704002]",1177.65
88,"[1171.0227593111922, 1164.2069731909214, 1165.9391117095947, 1169.2685437202454, 1171.203461513389]",1171.05
89,"[1163.8359294926704, 1165.6363852024078, 1169.090461075306, 1171.0300837872928, 1164.9319609806844]",1163.6
90,"[1165.3077786564827, 1168.9020264148712, 1170.905981835982, 1164.4925502254773, 1162.3414731338926]",1163.6
91,"[1169.1767745018005, 1171.264529781285, 1164.5867497835425, 1162.3385250106148, 1161.9453015200925]",1163.6
92,"[1171.2271868864336, 1164.286181596035, 1161.9479688697247, 1161.5199294471604, 1156.4028999513394]",1156.1
93,"[1163.748500064903, 1161.3173512619323, 1160.869657684183, 1155.4693275800528, 1144.323620337469]",1158.55
94,"[1160.9148622411085, 1160.4501818578065, 1154.8257943845674, 1143.1142651532718, 1137.9327207228635]",1162.25
95,"[1160.319622112649, 1154.4732830726425, 1142.286436890281, 1136.6844520970917, 1139.319978698899]",1126.95
96,"[1154.1067330784426, 1141.4419962220127, 1135.5987538490735, 1138.0948749648378, 1135.6388415958063]",1131.6
97,"[1140.5453451371577, 1134.4922488120937, 1137.0546742286824, 1134.616257274305, 1133.4401906579733]",1131.6
98,"[1133.6307090371556, 1136.3145073893538, 1133.7977181965543, 1132.6087461262941, 1133.561561331153]",1131.6
99,"[1135.4379867263633, 1132.8136957905954, 1131.5840229541063, 1132.6068064123392, 1132.50434795022]",1136.25
100,"[1131.595250229002, 1130.3146187216043, 1131.3818770498037, 1131.2960447072983, 1111.4039857685566]",1125.7
101,"[1130.4386218637228, 1131.547029837966, 1131.4610589444637, 1110.5028265714645, 1131.7759674042463]",1133.65
102,"[1131.5467527359724, 1131.4560711085796, 1109.6474500000477, 1131.8469440191984, 1131.7610677331686]",1131.35
103,"[1131.4512218236923, 1108.7977623939514, 1131.8702416867018, 1131.7579523473978, 1131.3809229433537]",1131.35
104,"[1107.901208549738, 1131.8831095844507, 1131.763370409608, 1131.3718476891518, 1131.4172916859388]",1131.35
105,"[1131.698895469308, 1131.575905457139, 1131.1697539687157, 1131.2177715450525, 1129.739161246238]",1131.35
106,"[1131.8126747757196, 1131.3904045522213, 1131.4403184503317, 1129.8867358887364, 1134.9125173721404]",1131.35
107,"[1131.3023610413074, 1131.3541712611914, 1129.739161246238, 1135.0017108373868, 1135.8588633994805]",1131.35
108,"[1131.3536294549704, 1129.6767258205655, 1135.145501514693, 1136.087598555372, 1140.5073389997851]",1134.6
109,"[1129.6113172793848, 1135.2903733249113, 1136.2745248089486, 1140.971148080629, 1144.9349344652292]",1145.9
110,"[1135.4433536319702, 1136.4617207973788, 1141.3494512128673, 1145.5849693080381, 1152.563193248614]",1145.9
111,"[1136.6591667102475, 1141.7276194776787, 1146.1400552412233, 1153.4685908261163, 1145.157934441253]",1145.9
112,"[1142.127096795928, 1146.7023096818302, 1154.3261777288863, 1145.6719674955893, 1148.925210707268]",1145.9
113,"[1147.2985130915476, 1155.219281132886, 1146.2346991371887, 1149.643600245603, 1155.4042401431361]",1145.9
114,"[1156.0367070688808, 1146.7069320016162, 1150.2487467857864, 1156.333952863788, 1161.708282509484]",1151.0
115,"[1146.7435413182684, 1150.4196357974724, 1156.7453978703415, 1162.49948087534, 1170.6549054384232]",1164.25
116,"[1150.593666653498, 1157.1523350132775, 1163.1391877032584, 1171.8307942152023, 1180.5520659387112]",1176.7
117,"[1157.5819480762293, 1163.7783481234655, 1172.8185682296753, 1182.0668136179447, 1182.6563875706925]",1175.85
118,"[1164.4550740738196, 1173.81731903553, 1183.4447149336338, 1184.1305224673124, 1176.4528592867864]",1175.85
119,"[1174.8782259225845, 1184.8684167563915, 1185.6077433823666, 1177.6265983435442, 1178.269752639957]",1175.85
120,"[1186.1756742596626, 1186.9566139852686, 1178.6782292618009, 1179.3600990622072, 1183.6664975136518]",1178.5
121,"[1187.8484733127698, 1179.257839633181, 1179.9665016845393, 1184.514872035943, 1188.6513925790787]",1189.5
122,"[1179.3586963265552, 1180.0927478932135, 1184.8173018425005, 1189.2185432314873, 1198.2483170628548]",1178.55
123,"[1180.2526597575343, 1185.1479266356619, 1189.7226147055626, 1199.1928431987762, 1190.382843375206]",1205.05
124,"[1185.4981897279504, 1190.2342725396156, 1200.0685966014862, 1191.0562489628792, 1204.5988342519559]",1190.35
125,"[1190.7799285054207, 1200.980508863926, 1191.6539336442947, 1205.7039580133278, 1197.301253714104]",1190.35
126,"[1201.8486050963402, 1192.161150276661, 1206.7355313566804, 1198.0830142118793, 1202.5058077079302]",1190.35
127,"[1192.244953751564, 1207.375937144825, 1198.4121236018836, 1203.130842607934, 1204.1612667260051]",1203.0
128,"[1208.5135265204008, 1199.2045144335134, 1204.107109484612, 1205.3290232652216, 1204.2254078620317]",1216.05
129,"[1198.9666248002322, 1204.03887423352, 1205.318967544008, 1204.1748419496435, 1211.037757576909]",1214.75
130,"[1204.5465445016453, 1205.8555120973324, 1204.6680032485892, 1211.728948133532, 1201.701393859621]",1196.05
131,"[1206.4332851076324, 1205.2000227273675, 1212.5145105551637, 1201.9568212423328, 1202.695922553772]",1200.55
132,"[1205.7777957376675, 1213.3740048526088, 1202.4183880905475, 1203.2602692058135, 1206.7941403874574]",1200.55
133,"[1213.7901978240989, 1202.4450615516253, 1203.3252132849593, 1207.0550764197396, 1207.3163748631778]",1200.55
134,"[1201.9429046539444, 1202.8475553814205, 1206.7180340447085, 1207.0660212366492, 1202.700547605753]",1212.85
135,"[1202.365403579548, 1206.3725837308593, 1206.7397062318341, 1202.246425062418, 1196.6241502153716]",1216.8
136,"[1206.7574643784756, 1207.128645884397, 1202.476382523775, 1196.4648197670904, 1196.7453360139334]",1195.0
137,"[1207.3745056125917, 1202.5464703142643, 1196.3062122337287, 1196.362974014337, 1190.4647935789835]",1189.7
138,"[1202.6207575798035, 1196.1739188034408, 1196.2135685289104, 1190.0577724215982, 1189.7032607649162]",1184.85
139,"[1196.0404687092814, 1196.111160497152, 1189.7351726161723, 1189.3736983737617, 1193.4914876167604]",1184.85
140,"[1195.516149525094, 1188.9140226618038, 1188.5416693791922, 1192.916349024803, 1197.3718236756395]",1184.85
141,"[1187.8496173685417, 1187.4640641838196, 1192.0051206175704, 1196.775362164888, 1184.8854741454124]",1192.8
142,"[1187.1672839671373, 1191.862097502395, 1196.8095948780538, 1184.5212164521217, 1203.7971013756178]",1212.8
143,"[1191.9298376593797, 1197.0350085910177, 1184.3249133229256, 1204.3769638032245, 1226.581276113313]",1203.65
144,"[1197.4758272999607, 1184.3043997883797, 1205.0189645047067, 1228.12666001037, 1213.0932510494022]",1221.95
145,"[1184.286023080349, 1205.686133340001, 1229.5660689428332, 1214.1412899557326, 1222.764234093076]",1215.2
146,"[1206.4120278208575, 1231.087453052547, 1215.17920846981, 1224.0924329616828, 1219.6242921417434]",1215.2
147,"[1232.4333206451847, 1215.9836350769037, 1225.1922247425537, 1220.6152700868115, 1225.295066199149]",1215.2
148,"[1216.072983682796, 1225.5960158440867, 1220.8739760739409, 1225.8143718546198, 1229.9478409372678]",1226.75
149,"[1226.3846612350317, 1221.4983082027902, 1226.6028715777793, 1231.0404949966469, 1236.3319370150566]",1231.0
150,"[1221.4703399879654, 1226.7303308901319, 1231.3187204670394, 1236.8832617998123, 1235.2054650783539]",1242.1
151,"[1227.1147481761873, 1231.8285577164497, 1237.5767318606377, 1235.8932665586472, 1239.3021956636076]",1236.8
152,"[1232.3818039659527, 1238.3061769604683, 1236.5766656398773, 1240.0612017436215, 1227.8541007398235]",1228.3
153,"[1239.1049398183823, 1237.315681695938, 1240.9164532298018, 1228.1985112240436, 1227.610377757439]",1228.3
154,"[1237.6815210580826, 1241.4127833859093, 1228.2814303432024, 1227.6622022069132, 1227.539896506154]",1228.3
155,"[1241.7912499369268, 1228.236713246799, 1227.59675533072, 1227.460827203242, 1229.7303679155739]",1222.25
156,"[1227.7593360322135, 1227.0999809650457, 1226.959314602187, 1229.3209547647275, 1228.8455445963918]",1230.75
157,"[1226.747574708621, 1226.603798878794, 1229.042583436123, 1228.6388364430895, 1231.948089659214]",1224.4
158,"[1226.5436825174038, 1229.0622767269233, 1228.6506314875005, 1232.0805749595165, 1239.3597839176655]",1240.55
159,"[1229.0890773707943, 1228.6504840494454, 1232.187531530857, 1239.8734395503998, 1247.7226235769049]",1241.95
160,"[1228.6459134697361, 1232.2955151200294, 1240.227027118206, 1248.4049653820402, 1238.1604129135376]",1241.95
161,"[1232.6467552185059, 1240.8053848743439, 1249.2453963483567, 1238.6307740264747, 1236.514297070229]",1241.95
162,"[1241.1143705248833, 1249.818451072002, 1238.8763922469225, 1236.622375009305, 1238.2956583893538]",1237.3
163,"[1250.6865365501435, 1239.4013845372829, 1237.0726010541403, 1238.7512143051572, 1243.0049695196212]",1233.2
164,"[1239.3726624548435, 1236.9791802602267, 1238.7069467657275, 1243.1561305823561, 1247.406110471551]",1236.65
165,"[1236.8166191956989, 1238.6084922047885, 1243.1975851343304, 1247.7498871489952, 1250.3649291187176]",1247.9
166,"[1238.4989337459992, 1243.2267513726838, 1247.925624838972, 1250.7843603535148, 1257.1601162814768]",1253.65
167,"[1243.2539929354098, 1248.0747131741082, 1251.0268694825645, 1257.7050288330502, 1257.5849567822006]",1253.65
168,"[1248.404276862304, 1251.4220201940625, 1258.307809520731, 1258.2317622242554, 1250.7450789005088]",1253.65
169,"[1252.008602104499, 1259.09743437024, 1259.028462735252, 1251.2718786193727, 1247.302424056892]",1257.2
170,"[1259.8418357920455, 1259.7704657435243, 1251.7791008167696, 1247.6037086620636, 1244.2919553047977]",1255.6
171,"[1260.1669479149132, 1251.9291453324404, 1247.6237345237168, 1244.0520135740808, 1235.6654431123752]",1240.4
172,"[1251.8747467231733, 1247.4464907034126, 1243.761415812769, 1234.8903159223264, 1231.9522661478259]",1238.1
173,"[1247.2487726812687, 1243.4744149293692, 1234.3317507565662, 1231.2165547448967, 1230.7428908848524]",1226.5
174,"[1243.163284989976, 1233.774234680197, 1230.565220102988, 1229.99953611636, 1228.3544890162884]",1226.5
175,"[1233.0320788710087, 1229.7404859717353, 1229.1569674654602, 1227.4952848050452, 1222.0731861434615]",1226.5
176,"[1228.876485923276, 1228.2910191081319, 1226.5815279454691, 1220.9597227156337, 1205.0449755385634]",1230.95
177,"[1227.8962617572834, 1226.1268226294196, 1220.3373566808295, 1203.726591532817, 1210.7374107034411]",1216.65
178,"[1225.7118328403158, 1219.7459742365027, 1202.6493789395172, 1209.6484694130777, 1202.031253909794]",1209.2
179,"[1219.5287897447997, 1201.9400599539222, 1209.1460627781635, 1201.1502229322068, 1206.265676029172]",1206.55
180,"[1201.1671580698894, 1208.6516261662473, 1200.4238566199056, 1205.664186026319, 1205.128068991573]",1202.65
181,"[1208.1130592418049, 1199.6649138790526, 1205.059027506737, 1204.497817817566, 1205.0360625920148]",1202.65
182,"[1198.6543108906044, 1204.2249535432784, 1203.6476023805008, 1204.2383803145058, 1191.8543098212613]",1202.65
183,"[1203.8131992256385, 1203.2197065892542, 1203.8292673289106, 1190.9753917519047, 1202.3715225592896]",1204.2
184,"[1203.025275202628, 1203.6476023805008, 1190.4222245049532, 1202.1590486031782, 1212.018108988559]",1204.6
185,"[1203.5462045781169, 1189.9359188471062, 1202.0149007360742, 1212.2430621960957, 1218.2664842935192]",1198.8
186,"[1189.5438865795368, 1201.9955849218823, 1212.5026789093972, 1218.8493546935788, 1224.0862851246638]",1229.35
187,"[1201.9767015512916, 1212.7700625493017, 1219.2821636085282, 1224.965832106769, 1248.9665639796294]",1229.6
188,"[1213.0663564160059, 1219.7250244889874, 1225.5601904674113, 1250.435727100048, 1230.3390306326037]",1229.6
189,"[1220.160992593097, 1226.0961038285895, 1251.6333331868373, 1231.0172550873685, 1234.9990937114635]",1229.6
190,"[1226.6659066734865, 1252.8816455518972, 1231.7466358712263, 1235.8861942950462, 1240.191387824525]",1232.4
191,"[1254.4854880646017, 1232.782514890423, 1237.0254120306054, 1241.5588302145188, 1246.7937307348184]",1241.6
192,"[1232.8864399257436, 1237.2354607973393, 1241.8862893526093, 1247.4197292919125, 1253.826954410455]",1249.05
193,"[1237.4430177085014, 1242.1973315598734, 1247.8748674120434, 1254.5977917976415, 1252.1297137927904]",1247.5
194,"[1242.538862352958, 1248.3404363929003, 1255.2434125124855, 1252.750619991246, 1247.9400114877208]",1247.5
